id,start,end,computed,needs_recompute,num_retplayers,num_newplayers,num_games,dom_p,dom_t,dom_z
263,2020-03-12,2020-03-25,f,f,0,0,0,,,
264,2020-03-26,2020-04-08,f,f,0,0,0,,,
265,2020-04-09,2020-04-22,f,f,0,0,0,,,
266,2020-04-23,2020-05-06,f,f,0,0,0,,,
267,2020-05-07,2020-05-20,f,f,0,0,0,,,
268,2020-05-21,2020-06-03,f,f,0,0,0,,,
269,2020-06-04,2020-06-17,f,f,0,0,0,,,
270,2020-06-18,2020-07-01,f,f,0,0,0,,,
271,2020-07-02,2020-07-15,f,f,0,0,0,,,
272,2020-07-16,2020-07-29,f,f,0,0,0,,,
273,2020-07-30,2020-08-12,f,f,0,0,0,,,
274,2020-08-13,2020-08-26,f,f,0,0,0,,,
275,2020-08-27,2020-09-09,f,f,0,0,0,,,
276,2020-09-10,2020-09-23,f,f,0,0,0,,,
277,2020-09-24,2020-10-07,f,f,0,0,0,,,
278,2020-10-08,2020-10-21,f,f,0,0,0,,,
279,2020-10-22,2020-11-04,f,f,0,0,0,,,
280,2020-11-05,2020-11-18,f,f,0,0,0,,,
281,2020-11-19,2020-12-02,f,f,0,0,0,,,
282,2020-12-03,2020-12-16,f,f,0,0,0,,,
283,2020-12-17,2020-12-30,f,f,0,0,0,,,
284,2020-12-31,2021-01-13,f,f,0,0,0,,,
285,2021-01-14,2021-01-27,f,f,0,0,0,,,
286,2021-01-28,2021-02-10,f,f,0,0,0,,,
287,2021-02-11,2021-02-24,f,f,0,0,0,,,
289,2021-03-11,2021-03-24,f,f,0,0,0,,,
290,2021-03-25,2021-04-07,f,f,0,0,0,,,
291,2021-04-08,2021-04-21,f,f,0,0,0,,,
292,2021-04-22,2021-05-05,f,f,0,0,0,,,
293,2021-05-06,2021-05-19,f,f,0,0,0,,,
294,2021-05-20,2021-06-02,f,f,0,0,0,,,
295,2021-06-03,2021-06-16,f,f,0,0,0,,,
296,2021-06-17,2021-06-30,f,f,0,0,0,,,
297,2021-07-01,2021-07-14,f,f,0,0,0,,,
298,2021-07-15,2021-07-28,f,f,0,0,0,,,
